sequence,model,ADE_px,FDE_px,runtime_sec
anita_seq07,lstm,23.226872416575763,42.33019497985685,0.24483442306518555
anita_seq07,gru,23.761420797149484,43.87792771208782,0.18363189697265625
anita_seq07,transformer,23.149504153224402,40.42596322311479,0.26433491706848145
anita_seq08,lstm,11.79892383561401,27.645460545232712,0.3099980354309082
anita_seq08,gru,11.69557394704331,25.57542046823515,0.27747488021850586
anita_seq08,transformer,18.10278003777836,38.52011906874311,0.41704773902893066
anita_seq09,lstm,23.74964897655955,37.68992854635803,0.22049498558044434
anita_seq09,gru,26.455405813399995,46.243334490336125,0.18538284301757812
anita_seq09,transformer,18.26011902949847,27.25417575191007,0.2919957637786865
chrisi_seq01,lstm,11.449414578526936,18.49724182391825,0.2317335605621338
chrisi_seq01,gru,9.024855498928039,16.186016370537292,0.21289920806884766
chrisi_seq01,transformer,14.4796236485446,19.999922447418363,0.32535386085510254
chrisi_seq02,lstm,8.027810168876615,14.228358727808944,0.2808084487915039
chrisi_seq02,gru,12.080613181296187,24.073673900681978,0.2873680591583252
chrisi_seq02,transformer,13.275712271760876,26.52157404261914,0.39117860794067383
chrisi_seq05,lstm,9.505619131817092,16.43827073575369,0.3191947937011719
chrisi_seq05,gru,12.552884265332525,25.66575695522713,0.3255951404571533
chrisi_seq05,transformer,15.175366489047578,29.385252316235587,0.4451277256011963
chrisi_seq07,lstm,9.771649256300034,16.966894069830968,0.4841885566711426
chrisi_seq07,gru,8.71206083670319,16.94508223196507,0.4742891788482666
chrisi_seq07,transformer,12.379662712712346,21.588134486715344,0.6528060436248779
clemens_seq03,lstm,12.63116459951134,27.81069723836325,0.23774456977844238
clemens_seq03,gru,10.740242903170802,23.77801302900718,0.20577740669250488
clemens_seq03,transformer,16.76272030689621,32.88253893721926,0.2999086380004883
clemens_seq08,lstm,22.395464198752137,47.718397453734724,0.30643367767333984
clemens_seq08,gru,15.134149546546409,33.28734258610172,0.30099034309387207
clemens_seq08,transformer,26.412266387947152,52.4646269172412,0.39667487144470215
clemens_seq09,lstm,12.150309579137618,24.993890996349222,0.2907533645629883
clemens_seq09,gru,11.624216760004712,22.361746064772177,0.31192731857299805
clemens_seq09,transformer,15.306594932119461,26.677589416727205,0.44498276710510254
clemens_seq10,lstm,23.681797259806427,43.35977389272711,0.2948925495147705
clemens_seq10,gru,13.837160593273117,27.200779882180566,0.30988621711730957
clemens_seq10,transformer,25.630667096274834,48.7039720674862,0.4222853183746338
clemens_seq12,lstm,12.962347880965938,26.39509651794693,0.22818636894226074
clemens_seq12,gru,11.61645233428156,20.56960073786913,0.23184418678283691
clemens_seq12,transformer,19.48438505239342,32.827912381957425,0.31551694869995117
clemens_seq15,lstm,14.509338855746792,29.413016132911853,0.39346861839294434
clemens_seq15,gru,6.877435346200201,14.94858079931531,0.37731027603149414
clemens_seq15,transformer,17.163745346735922,31.176560694971098,0.5295274257659912
connie_seq08,lstm,17.393147360962292,34.90687613931016,0.2641899585723877
connie_seq08,gru,14.136885128350947,30.181481799349218,0.2995443344116211
connie_seq08,transformer,20.881241334765548,39.669758728590715,0.40347909927368164
hans_seq05,lstm,8.81439696074961,14.685897761668084,0.2555081844329834
hans_seq05,gru,13.59618895375946,20.45964244311733,0.2509500980377197
hans_seq05,transformer,9.120981720221724,16.494772288080668,0.3357272148132324
hans_seq06,lstm,9.386766395660485,15.760384045281151,0.4237046241760254
hans_seq06,gru,10.99067730100237,20.85024483051561,0.4379572868347168
hans_seq06,transformer,10.599310983087259,21.9291814275536,0.6545693874359131
hans_seq12,lstm,18.416039797388912,42.35038683693518,0.2962489128112793
hans_seq12,gru,10.681460390375102,24.500467192540167,0.299055814743042
hans_seq12,transformer,24.344575192731572,50.63497158674601,0.49126362800598145
horvath2_seq04,lstm,12.666635707681149,26.90433560412886,0.23828792572021484
horvath2_seq04,gru,7.948972450636762,13.767058326331155,0.2527015209197998
horvath2_seq04,transformer,20.325600326420105,38.15669564197348,0.3659648895263672
horvath2_seq08,lstm,12.970764464323917,25.523654872740657,0.2658565044403076
horvath2_seq08,gru,8.537806925797417,17.004861975700347,0.29026150703430176
horvath2_seq08,transformer,14.798356368549674,27.81482776064123,0.390866756439209
horvath_seq01,lstm,12.904011305486275,23.84691359908585,0.27027440071105957
horvath_seq01,gru,16.616046546250953,34.090646942852594,0.27416396141052246
horvath_seq01,transformer,12.209769691542107,20.64112854606033,0.40811800956726074
lisa_seq05,lstm,15.50666269146454,28.342059692408856,0.3235955238342285
lisa_seq05,gru,13.610745772598491,26.5652752636031,0.3465309143066406
lisa_seq05,transformer,17.604447477878782,30.57256421574161,0.43087339401245117
lisa_seq08,lstm,13.427454716897914,30.702406329921125,0.345705509185791
lisa_seq08,gru,10.888357520327157,23.927956924695344,0.33124303817749023
lisa_seq08,transformer,15.729206825559118,33.146404354591475,0.5060088634490967
richard_seq03,lstm,17.40869381474603,28.67837744762422,0.3658480644226074
richard_seq03,gru,15.616658666378513,31.183593006530177,0.40187525749206543
richard_seq03,transformer,16.620763216841123,24.553402006758116,0.5923304557800293
richard_seq06,lstm,17.218079986949814,35.82034335732687,0.35553932189941406
