sequence,model,ADE_px,FDE_px,runtime_sec
anita_seq07,kalman,31.141161107886155,63.7668143107275,0.5355599998729303
anita_seq07,cv,44.72201508744661,88.5391111810553,0.29906839929753914
anita_seq08,kalman,21.157442745296876,53.20196124807176,0.7172793000063393
anita_seq08,cv,25.587475333518,60.237482040594855,0.45750910049537197
anita_seq09,kalman,51.665491625116054,102.28480013475351,0.5416111003432889
anita_seq09,cv,67.52782086107345,121.6431020210227,0.34705709980335087
chrisi_seq01,kalman,35.46817822095961,77.90898811438792,0.5426335003285203
chrisi_seq01,cv,42.52232818451844,87.20191703068743,0.3504603001929354
chrisi_seq02,kalman,28.71679244482154,66.58090778610828,0.6414697998843621
chrisi_seq02,cv,34.47719007305508,76.5299352379511,0.41038489976199344
chrisi_seq05,kalman,29.100332723245135,68.00784401901377,0.7754584999347571
chrisi_seq05,cv,35.214419403073826,76.23609658886134,0.5000834996753838
chrisi_seq07,kalman,22.86739854531314,50.532564547514966,1.085569699993357
chrisi_seq07,cv,27.883067793206965,58.709618306153125,0.6707016997679602
clemens_seq03,kalman,31.545293149040894,74.69674837987439,0.5317956997314468
clemens_seq03,cv,35.4267809502154,79.63027310435258,0.33615369992912747
clemens_seq08,kalman,37.08742912106382,79.01381361533633,0.6787452001590282
clemens_seq08,cv,42.81132727699228,90.16007239716646,0.42628749983850867
clemens_seq09,kalman,35.31833964962382,81.75203145348053,0.7202183003246319
clemens_seq09,cv,40.99348179462145,88.30670062681709,0.4338857000984717
clemens_seq10,kalman,34.56903094487839,85.27521889990173,0.7079158003616612
clemens_seq10,cv,37.99847124748675,90.1629431758265,0.43531890006852336
clemens_seq12,kalman,12.643323537199256,26.168934431913105,0.5536997999006417
clemens_seq12,cv,16.933752974560097,34.30394487137299,0.3404887999931816
clemens_seq15,kalman,21.6879737368305,54.267268906396446,0.9110052997129969
clemens_seq15,cv,25.024698331330917,59.2862877280783,0.5547678000875749
connie_seq08,kalman,29.866182811597017,68.89923466721274,0.6092523001716472
connie_seq08,cv,37.138934376364226,81.00959788741177,0.4014786994084716
hans_seq05,kalman,24.20480599700509,50.443911197885626,0.5069052000180818
hans_seq05,cv,34.243507230674346,68.7541990645033,0.3362645003653597
hans_seq06,kalman,20.29722816177543,38.195209018202846,0.6804979000880849
hans_seq06,cv,24.19823672045172,43.862423189621154,0.43049050006084144
hans_seq12,kalman,11.85693756444533,29.074219393808082,0.519442400051048
hans_seq12,cv,17.74581853899548,39.216576006847845,0.31367479951586574
horvath2_seq04,kalman,21.628604692320504,52.521772474638254,0.479155000008177
horvath2_seq04,cv,26.421531509700962,60.560021920662386,0.29920740009401925
horvath2_seq08,kalman,29.055701255756016,68.38364749923309,0.591903400112642
horvath2_seq08,cv,34.06175444058435,75.77663659492104,0.3656764000770636
horvath_seq01,kalman,31.30861182270526,63.797116107776986,0.4729659997683484
horvath_seq01,cv,39.32993110215472,77.84766456960098,0.30696500002522953
lisa_seq05,kalman,33.82508660789758,70.68728295201333,0.6673965002701152
lisa_seq05,cv,40.29118893535494,80.4557037011467,0.41407369991065934
lisa_seq08,kalman,24.277069078327543,56.015310618170034,0.6569115003803745
lisa_seq08,cv,28.985860169100086,64.07017649801283,0.41973410005448386
richard_seq03,kalman,39.33026111277814,74.94982332184341,0.6151757998741232
richard_seq03,cv,47.811448049793036,89.06208662603945,0.38821009974344634
richard_seq06,kalman,11.918810953501518,25.2029040201032,0.6329376000212505
richard_seq06,cv,15.640927438031996,32.222336068120875,0.3890328000416048
stefan_seq03,kalman,28.987169500991698,62.28256663716994,0.7770143000234384
stefan_seq03,cv,34.97218464483302,71.93124596900607,0.4790740997996181
stefan_seq09,kalman,18.855311346543818,43.88425402561103,0.7741968999325763
stefan_seq09,cv,23.287772672198734,51.063755947789,0.4738559996767435
ursula_seq05,kalman,17.54262039555509,43.64570388629895,0.6132789000985213
ursula_seq05,cv,19.792022827065903,47.21384339831884,0.3769710999040399
ursula_seq12,kalman,26.08757281794946,66.28747065088764,0.5240784996130969
ursula_seq12,cv,32.21018215607577,74.72574128281605,0.3372601998562459
wolfgang_seq09,kalman,15.193394998690325,40.4482491885107,0.47162230021785945
wolfgang_seq09,cv,19.010681623942055,46.19917001013253,0.3002442999277264
wolfgang_seq10,kalman,29.795705201987623,68.56415733828497,0.4311279001412913
wolfgang_seq10,cv,34.44765426668373,75.01935042088307,0.26874189998488873
